,0_x,1_x,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,11_x,12_x,13_x,14_x,15_x,16_x,17_x,18_x,19_x,0_y,1_y,2_y,3_y,4_y,5_y,6_y,7_y,8_y,9_y,10_y,11_y,12_y,13_y,14_y,15_y,16_y,17_y,18_y,19_y,20,21,22
28,Köp,UBS (Lux) ES As Smlr Coms (USD) P-acc,UBS (Lux) ES As Smlr Coms (USD) P-acc,UBS (Lux) ES As Smlr Coms (USD) P-acc,,,"Asien ex Japan, små-/medelstora bolag",5/5,,19.6,1.99, 26 26 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) ES As Smlr Coms (USD) P-acc,UBS (Lux) ES As Smlr Coms (USD) P-acc,UBS (Lux) ES As Smlr Coms (USD) P-acc,,,0.27,-3.73,1.1,8.43,12.09,19.6,47.58,85.27,–,, ,Expandera, , , , , 
29,Köp,UBS (Lux) ES Euro Countrs Inc€ P-acc,UBS (Lux) ES Euro Countrs Inc€ P-acc,UBS (Lux) ES Euro Countrs Inc€ P-acc,,,Euroland,2/5,,-13.34,1.67, 21 21 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) ES Euro Countrs Inc€ P-acc,UBS (Lux) ES Euro Countrs Inc€ P-acc,UBS (Lux) ES Euro Countrs Inc€ P-acc,,,1.61,0.76,3.14,1.8,-16.12,-13.34,1.35,14.52,–,, ,Expandera, , , , , 
30,Köp,UBS (Lux) ES Eurp Opp Uncons € P,UBS (Lux) ES Eurp Opp Uncons € P,UBS (Lux) ES Eurp Opp Uncons € P,,,"Europa, mix bolag",5/5,,7.05,2.13, 21 21 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) ES Eurp Opp Uncons € P,UBS (Lux) ES Eurp Opp Uncons € P,UBS (Lux) ES Eurp Opp Uncons € P,,,-0.42,-0.22,2.03,4.66,2.89,7.05,42.57,35.57,182.85,, ,Expandera, , , , , 
31,Köp,UBS (Lux) ES German HiDiv € P-acc,UBS (Lux) ES German HiDiv € P-acc,UBS (Lux) ES German HiDiv € P-acc,,,Tyskland,2/5,,-4.1,1.87, 23 23 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) ES German HiDiv € P-acc,UBS (Lux) ES German HiDiv € P-acc,UBS (Lux) ES German HiDiv € P-acc,,,1.52,0.88,5.35,2.01,-10.28,-4.1,7.19,24.81,–,, ,Expandera, , , , , 
32,Köp,UBS (Lux) ES Glb EM Markts Opp(USD) Pacc,UBS (Lux) ES Glb EM Markts Opp(USD) Pacc,UBS (Lux) ES Glb EM Markts Opp(USD) Pacc,,,Tillväxtmarknader,3/5,,3.24,1.99, 26 26 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) ES Glb EM Markts Opp(USD) Pacc,UBS (Lux) ES Glb EM Markts Opp(USD) Pacc,UBS (Lux) ES Glb EM Markts Opp(USD) Pacc,,,0.08,-2.92,-0.15,3.85,-6.7,3.24,18.77,62.19,69.55,, ,Expandera, , , , , 
33,Köp,UBS(LUX) ES Glb Hi Div USD P-acc,UBS(LUX) ES Glb Hi Div USD P-acc,UBS(LUX) ES Glb Hi Div USD P-acc,,,"Global, stor utdelning",3/5,,-12.79,1.57, 23 23 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS(LUX) ES Glb Hi Div USD P-acc,UBS(LUX) ES Glb Hi Div USD P-acc,UBS(LUX) ES Glb Hi Div USD P-acc,,,0.59,-1.46,0.34,-4.68,-15.84,-12.79,19.47,37.1,–,, ,Expandera, , , , , 
34,Köp,UBS (Lux) ES Glbl Imp (USD) EUR H P Acc,UBS (Lux) ES Glbl Imp (USD) EUR H P Acc,UBS (Lux) ES Glbl Imp (USD) EUR H P Acc,,,Övriga aktiefonder,-,–,-0.95,1.61, 24 24 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) ES Glbl Imp (USD) EUR H P Acc,UBS (Lux) ES Glbl Imp (USD) EUR H P Acc,UBS (Lux) ES Glbl Imp (USD) EUR H P Acc,,,0.83,-2.61,1.16,1.58,-6.18,-0.95,–,–,–,, ,Expandera, , , , , 
35,Köp,UBS (Lux) ES Russia (USD) P-acc,UBS (Lux) ES Russia (USD) P-acc,UBS (Lux) ES Russia (USD) P-acc,,,Ryssland,3/5,,-6.37,2.41, 35 35 av 100,Hög (7 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) ES Russia (USD) P-acc,UBS (Lux) ES Russia (USD) P-acc,UBS (Lux) ES Russia (USD) P-acc,,,0.54,-2.33,-3.76,0.93,-15.86,-6.37,29.03,91.53,17.84,, ,Expandera, , , , , 
36,Köp,UBS (Lux) ES Small Caps Europe EUR P Acc,UBS (Lux) ES Small Caps Europe EUR P Acc,UBS (Lux) ES Small Caps Europe EUR P Acc,,,"Europa, småbolag",3/5,,3.83,1.99, 23 23 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) ES Small Caps Europe EUR P Acc,UBS (Lux) ES Small Caps Europe EUR P Acc,UBS (Lux) ES Small Caps Europe EUR P Acc,,,0.29,-1.13,1.79,4.85,-7.11,3.83,21.01,34.38,188.77,, ,Expandera, , , , , 
37,Köp,UBS (Lux) ES USA Growth $ P-acc,UBS (Lux) ES USA Growth $ P-acc,UBS (Lux) ES USA Growth $ P-acc,,,"USA, tillväxtbolag",4/5,,19.6,2.11, 23 23 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) ES USA Growth $ P-acc,UBS (Lux) ES USA Growth $ P-acc,UBS (Lux) ES USA Growth $ P-acc,,,2.2,-6.96,3.13,6.93,12.93,19.6,90.63,124.25,415.45,, ,Expandera, , , , , 
38,Köp,UBS (Lux) KSS Eurp Eq Val Opp EUR P-acc,UBS (Lux) KSS Eurp Eq Val Opp EUR P-acc,UBS (Lux) KSS Eurp Eq Val Opp EUR P-acc,,,"Europa, mix bolag",1/5,,-18.21,2.12, 25 25 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) KSS Eurp Eq Val Opp EUR P-acc,UBS (Lux) KSS Eurp Eq Val Opp EUR P-acc,UBS (Lux) KSS Eurp Eq Val Opp EUR P-acc,,,0.66,2.21,3.76,-5.41,-25.13,-18.21,-8.43,1.42,33.37,, ,Expandera, , , , , 
39,Köp,UBS (Lux) KSS Global Eqs $ EUR P-acc,UBS (Lux) KSS Global Eqs $ EUR P-acc,UBS (Lux) KSS Global Eqs $ EUR P-acc,,,"Global, mix bolag",2/5,,-2.71,2.12, 25 25 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) KSS Global Eqs $ EUR P-acc,UBS (Lux) KSS Global Eqs $ EUR P-acc,UBS (Lux) KSS Global Eqs $ EUR P-acc,,,0.85,-2.45,1.6,-1.65,-9.44,-2.71,30.3,47.77,128.05,, ,Expandera, , , , , 
40,Köp,UBS (Lux) Money Market CHF P-acc,UBS (Lux) Money Market CHF P-acc,UBS (Lux) Money Market CHF P-acc,,,Ränte - CHF penningmarknad,-,–,-2.4,0.07,–,Låg (1 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) Money Market CHF P-acc,UBS (Lux) Money Market CHF P-acc,UBS (Lux) Money Market CHF P-acc,,,-0.16,0.25,0.11,-0.82,-1.3,-2.4,11.55,6.87,27.33,, ,Expandera, , , , , 
41,Köp,Wells Fargo (Lux) WF China Eq A SEK Acc,Wells Fargo (Lux) WF China Eq A SEK Acc,Wells Fargo (Lux) WF China Eq A SEK Acc,,,Kina,4/5,,15.55,1.8, 30 30 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Wells Fargo (Lux) WF China Eq A SEK Acc,Wells Fargo (Lux) WF China Eq A SEK Acc,Wells Fargo (Lux) WF China Eq A SEK Acc,,,-2,-5.77,-1.8,11.23,9.44,15.55,36.65,72.94,144.85,, ,Expandera, , , , , 
42,Köp,Wells Fargo (Lux) WF EM Eq A USD Acc,Wells Fargo (Lux) WF EM Eq A USD Acc,Wells Fargo (Lux) WF EM Eq A USD Acc,,,Tillväxtmarknader,4/5,,3.58,2.09, 25 25 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Wells Fargo (Lux) WF EM Eq A USD Acc,Wells Fargo (Lux) WF EM Eq A USD Acc,Wells Fargo (Lux) WF EM Eq A USD Acc,,,0.22,-2.65,-0.02,4.3,-4.28,3.58,22.52,71.78,–,, ,Expandera, , , , , 
43,Köp,Wells Fargo (Lux) WF EM Eq Inc AUSD Acc,Wells Fargo (Lux) WF EM Eq Inc AUSD Acc,Wells Fargo (Lux) WF EM Eq Inc AUSD Acc,,,Tillväxtmarknader,2/5,,-10.5,2.08, 27 27 av 100,Medel (5 av 7),, ,Expandera, , , , ,Köp,Wells Fargo (Lux) WF EM Eq Inc AUSD Acc,Wells Fargo (Lux) WF EM Eq Inc AUSD Acc,Wells Fargo (Lux) WF EM Eq Inc AUSD Acc,,,0.4,-1.16,-1.11,1.23,-16.08,-10.5,5,25.24,–,, ,Expandera, , , , , 
44,Köp,Wells Fargo (Lux) WF Global Eq AUSD Acc,Wells Fargo (Lux) WF Global Eq AUSD Acc,Wells Fargo (Lux) WF Global Eq AUSD Acc,,,"Global, mix bolag",3/5,,-9.42,1.81, 23 23 av 100,Medel (5 av 7),, ,Expandera, , , , ,Köp,Wells Fargo (Lux) WF Global Eq AUSD Acc,Wells Fargo (Lux) WF Global Eq AUSD Acc,Wells Fargo (Lux) WF Global Eq AUSD Acc,,,1.46,-2.51,2.48,-0.65,-10.89,-9.42,27.31,48.55,156.77,, ,Expandera, , , , , 
45,Köp,Wells Fargo (Lux) WF USAllCpGr A USD Acc,Wells Fargo (Lux) WF USAllCpGr A USD Acc,Wells Fargo (Lux) WF USAllCpGr A USD Acc,,,"USA, flexibel storlek bolag",5/5,,18.41,1.75, 24 24 av 100,Medel (5 av 7),, ,Expandera, , , , ,Köp,Wells Fargo (Lux) WF USAllCpGr A USD Acc,Wells Fargo (Lux) WF USAllCpGr A USD Acc,Wells Fargo (Lux) WF USAllCpGr A USD Acc,,,1.88,-6.72,1.11,5.54,14.95,18.41,100.68,134.13,462.79,, ,Expandera, , , , , 
46,Köp,Wells Fargo (Lux) WF US HY Bd A USD Acc,Wells Fargo (Lux) WF US HY Bd A USD Acc,Wells Fargo (Lux) WF US HY Bd A USD Acc,,,"Ränte - dollar obligationer, högrisk",3/5,,-8.59,1.68,–,Medel (3 av 7),, ,Expandera, , , , ,Köp,Wells Fargo (Lux) WF US HY Bd A USD Acc,Wells Fargo (Lux) WF US HY Bd A USD Acc,Wells Fargo (Lux) WF US HY Bd A USD Acc,,,-0.48,-0.04,-0.21,-2.44,-7.95,-8.59,18.75,28.6,95.44,, ,Expandera, , , , , 
47,Köp,Wells Fargo (Lux) WF USLrgCpGr AUSD Acc,Wells Fargo (Lux) WF USLrgCpGr AUSD Acc,Wells Fargo (Lux) WF USLrgCpGr AUSD Acc,,,"USA, tillväxtbolag",4/5,,16.13,1.78, 22 22 av 100,Medel (5 av 7),, ,Expandera, , , , ,Köp,Wells Fargo (Lux) WF USLrgCpGr AUSD Acc,Wells Fargo (Lux) WF USLrgCpGr AUSD Acc,Wells Fargo (Lux) WF USLrgCpGr AUSD Acc,,,2.07,-5.76,0.88,3.57,12.14,16.13,99.28,139.98,432.05,, ,Expandera, , , , , 
48,Köp,Wells Fargo (Lux) WF-US ST HY Bd A USD A,Wells Fargo (Lux) WF-US ST HY Bd A USD A,Wells Fargo (Lux) WF-US ST HY Bd A USD A,,,"Ränte - dollar obligationer, högrisk",2/5,,-6.36,1.48,–,Låg (2 av 7),, ,Expandera, , , , ,Köp,Wells Fargo (Lux) WF-US ST HY Bd A USD A,Wells Fargo (Lux) WF-US ST HY Bd A USD A,Wells Fargo (Lux) WF-US ST HY Bd A USD A,,,-0.4,0.17,0.36,-2.63,-4.41,-6.36,19.63,17.75,–,, ,Expandera, , , , , 
49,Köp,White Fleet - Finserve Gbl Esports R SEK,White Fleet - Finserve Gbl Esports R SEK,White Fleet - Finserve Gbl Esports R SEK,,,Övriga aktiefonder,-,–,–,2,–,Hög (6 av 7),, ,Expandera, , , , ,Köp,White Fleet - Finserve Gbl Esports R SEK,White Fleet - Finserve Gbl Esports R SEK,White Fleet - Finserve Gbl Esports R SEK,,,1.04,-3.25,0.1,3.49,–,–,–,–,–,, ,Expandera, , , , , 
50,Köp,Vontobel Asia Pacific Equity B USD,Vontobel Asia Pacific Equity B USD,Vontobel Asia Pacific Equity B USD,,,Asien & Australien ex Japan,4/5,,-1.18,2, 24 24 av 100,Medel (5 av 7),, ,Expandera, , , , ,Köp,Vontobel Asia Pacific Equity B USD,Vontobel Asia Pacific Equity B USD,Vontobel Asia Pacific Equity B USD,,,0.41,-3.23,1.68,1.87,-3.14,-1.18,31.2,59.45,114.13,, ,Expandera, , , , , 
0,,Fond,,,Kategori,Rating,1 år,Årlig avgift,Hållbarhet,Risk,,,,,,,,,,,,Fond,,,1 dag,1 vecka,1 mån,3 mån,i år,1 år,3 år,5 år,10 år,,,,,,,,,,
1,Köp,Vontobel Commodity B USD,Vontobel Commodity B USD,Vontobel Commodity B USD,,,Råvaror - Blandade,-,–,-7.57,1.85, 27 27 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,Vontobel Commodity B USD,Vontobel Commodity B USD,Vontobel Commodity B USD,,,0.03,-1.82,-1.6,2.22,-12.21,-7.57,-2.38,-3.53,-31.58,, ,Expandera, , , , , 
